name, start, end
JPMorgan Chase & Co.,1980,2020
Walt Disney,1975,2020
Exxon Corporation,1975,2020
Alcoa Corporation,1975,2020
General Electric Company, 1975,2020
The Procter & Gamble Company,1975,2020
General Mills, Inc. 1980,2020
AT&T,1983,2020
British American Tabacoo,1980,2020
The Goodyear Tire & Rubber Company,1975,2020
Texaco Incorporated,1975,2020
Navistar International Corporation,1975,2020
DuPont de Nemours, Inc.,1975,2020
International Paper Company,1975,2020
United Technologies Corporation,1975,2020
V.F. Corporation,1980,2020
3M Company,1975,2020
Merck & Co., Inc.,1975,2020
International Business Machines Corporation,1975,2020
American Express Company,1975,2020
McDonald's Corporation,1975,2020
International Harvester Company,1975,2020
The Boeing Company,1975,2020
Caterpillar Inc.,1975,2020
Johnson & Johnson,1975,2020
The Travelers Companies Inc.,1975,2020
HP Inc.,1975,2020
Citigroup Inc.,1977,2020
Pfizer Inc.,1975,2020
Bank of America,1975,2020
Cisco Systems,2013,2020
Nike,2013,2020
Apple,2015,2020
